statement,originator,true_verdict,predicted_verdict,correct
"Congressman Jeff Denham ""has agreed all illegal immigrants should be detained, arrested and deported.""",Democratic Congressional Campaign Committee,mostly-false,mostly-false,True
"In the past decade, K-12 funding has grown six times faster than the rate of enrollment.",Bob McDonnell,half-true,mostly-false,False
"""We began seeing the increase in unaccompanied minors going back to last April 2020. This is not something that happened as a result of Joe Biden becoming president.""",Veronica Escobar,half-true,true,False
"Says Hitler said, ""This year will go down in history. For the first time, a civilized nation has full gun registration! Our streets will be safer, our police more efficient, and the world will follow our lead into the future!""",Viral image,false,false,True
Says Louie Anderson was flying to appear on Conan O’Brien’s show when he became ill a few weeks after receiving his third vaccine dose.,Viral image,false,true,False
"In economic growth, ""Obama's best year was slower than Bill Clinton's worst year.""",Newt Gingrich,mostly-true,mostly-false,False
"The transportation tax is regressive, and Emory University is ""literally getting its own transit line at virtually no cost to itself.""",Georgia Green Party,half-true,true,False
"""The candidates controlled by Madigan, all of them have said, ‘The answer to our problems is a massive income tax hike.’ """,Bruce Rauner,mostly-false,mostly-false,True
"Says Donald Trump ""has a long history of exporting jobs overseas.""",Tammy Baldwin,half-true,true,False
"""Studies have shown Latinos are more than 40 percent less likely to call 911 when they have been a victim of a crime.""",Kamala Harris,mostly-true,mostly-false,False
"""Mike Lee advised Trump's legal challenges to overturn our election"" and ""was one of only two senators who was in on the scheme.""",Evan McMullin,half-true,true,False
"Says a crisis actor played the parts of a shooting victim and the mothers of shooting victims in Las Vegas, Orlando and Thousand Oaks.",Viral image,pants-fire,pants-fire,True
"None of $400 million the City of Austin proposes to spend on road projects ""will be used to add new lanes to congested roadways.""",Citizens Against Rail Taxes,false,mostly-false,False
"""The Democrats are very sly. … (in New Hampshire) we have same day voter registration, and to be honest, when Massachusetts elections are not very close, they’re busing them in all over the place.""",Chris Sununu,pants-fire,mostly-false,False
"Says Marco Rubio sold a home to a chiropractor who had been lobbying him on automobile insurance legislation and ""once he sold the home, for $380,000 cash, the speaker's position on the issue changed.""",Charlie Crist,mostly-false,mostly-false,True
"Mitt Romney said we should let foreclosures ""hit the bottom.""",Kamala Harris,half-true,mostly-false,False
"A president must ""obtain Congress' consent before formally accepting the Nobel Prize.""",Ginny Brown-Waite,mostly-false,false,False
"""Congress as a whole is less popular than it’s been since polling was invented.""",Jim Cooper,true,true,True
NPR posted a story about the Capitol breach before it happened.,Viral image,false,mostly-false,False
"""Mr. Hurt would re-open that darn (Medicare) doughnut hole.""",Tom Perriello,half-true,mostly-false,False
"College students ""who are NOT U.S. Citizens and who get the PELL Grant"" plan to return to their home countries after getting free gas cards and child care.",Chain email,pants-fire,pants-fire,True
"""On 60 Minutes, Joe said he never met with Hunter and the Burisma CEO. Well, here he is with both.""",Viral image,false,true,False
"""In the state of Rhode Island 25 percent of our current physicians are graduates of for-profit medical schools.""",Joseph McNamara,false,mostly-false,False
"""The reality is, with a $2 trillion-a-year health care budget, we're spending more on health care, nearly 17 percent of our gross domestic product, versus 3.8 percent of GDP on the entire military budget.""",Mike Huckabee,mostly-false,true,False
"Says he ""was the only Republican"" to vote against creating a House panel to investigate Planned Parenthood.",David Jolly,true,true,True
"""Since 1990, in inflation-adjusted dollars, per-student funding of the (Florida) state university system from general revenue has dropped by about $4,000.""",Bob Graham,mostly-true,true,False
Did not vote for tax increases as a member of the West Miami City Commission.,Marco Rubio,false,true,False
"Says actor Dwayne ""The Rock"" Johnson wore a T-shirt stating: ""We Stand for the flag, we kneel for the fallen.""",Sid Miller,false,true,False
"The incandescent light bulb ""has no effect whatever on the planet.""",George Will,false,mostly-false,False
"""Al-Qaida has grown fourfold in five years.""",Jack Keane,half-true,mostly-false,False
"""Covid-19 is NOT killing people. Weak immune systems and bad doctors are.""",Viral image,false,pants-fire,False
"Says George LeMieux ""even compared Marco Rubio to Barack Obama.""",Adam Hasner,mostly-false,mostly-false,True
"Say ""Sam Hyde identified as perpitrator (sic) of Beirut explosion""",Bloggers,pants-fire,false,False
Cobb is one of the largest school systems (in the nation) that is debt free.,JoEllen Smith,true,mostly-false,False
"Says ""Bill Clinton and George Bush both say build the Keystone XL.""",American Petroleum Institute,true,mostly-false,False
"""We have been teaching these (Common Core) standards in Florida schools since 2010.""",Janet Adkins,mostly-false,mostly-false,True
"Says Al Jazeera tweeted, ""#BreakingNews Taliban started abducting minor girls from their home. The parents who are refusing to give their daughters to Taliban are being killed by Taliban fighters.""",Viral image,false,mostly-false,False
"The United States has ""10,000 IRS agents making sure that you don't take an improper charity deduction,"" but to fight terrorism, it has ""less than two dozen people focusing on countering violent extremism at home.""",Martha McSally,mostly-false,true,False
"""Joe Biden’s open border"" means that there are ""more Democrat voters pouring into this country.""",J.D. Vance,false,mostly-false,False
"""President Obama became the first president since Carter to leave the White House with a smaller federal prison population than when he took office.""",Charles Schumer,true,mostly-false,False
"Says Jeb Bush ""flip-flop-flip(ped) on immigration.""",Debbie Wasserman Schultz,true,mostly-false,False
"Elizabeth Townsend runs the elections office that omitted a school board race on a ballot and gave a School Board candidate ""faulty advice.""",Shirley Anderson,mostly-false,true,False
"""Since the reopening of (Georgia), we’ve seen our COVID rate skyrocket by 40%.""",Stacey Abrams,false,true,False
"The national debt of $16 trillion, is ""enough to buy both the Cleveland Indians and Cincinnati Reds 1,918 times.""",Rob Portman,mostly-true,mostly-false,False
"Says ""as Co-Chair of the Joint Ways & Means Committee, I secured the key piece of funding for"" the Portland-Milwaukie Light Rail project bridge.""",Mary Nolan,true,mostly-false,False
"""They have 180 million people, families under what he wants to do, which will basically be socialized medicine — you won’t even have a choice — they want to terminate 180 million plans.""",Donald Trump,pants-fire,mostly-false,False
"""For too long, Obamacare has caused high premiums and dismal coverage. ... Under Obamacare premiums in job-based coverage have increased by $3,775""",Vicky Hartzler,mostly-false,mostly-false,True
"Says since 2000, Austin’s ""tax burden"" rose more than 40 percent while family income rose more than 20 percent.",Dominic Chavez,mostly-true,true,False
"""89,000 children were separated from their parents under Obama"" and ""only 1,900 children have been separated under Trump.""",Facebook posts,false,mostly-false,False
"""Any government-run 'public' plan ... creates an entitlement that will cost another $1 trillion over the next 10 years.""",Ginny Brown-Waite,half-true,mostly-false,False
"""Santorum also voted for a teapot museum in North Carolina.""",Rick Perry,half-true,false,False
"""Switzerland (where the government) issues every household a gun . . . has the lowest gun related crime rate of any civilized country in the world!!!""",Facebook posts,pants-fire,mostly-false,False
"""The (Ohio) economy is on the mend. … It is in better shape than it was when we took office.""",Pari Sabety,half-true,mostly-false,False
"""Nancy Pelosi vows Democrats will raise taxes if they take back the House.""",Bloggers,half-true,mostly-false,False
"""Very, very, very few people get a pat-down"" when they go through airport security.",Janet Napolitano,pants-fire,mostly-false,False
"""You’ve got each day 10,000 new seniors, baby boomers, becoming eligible for the entitlement programs.""",Eric Cantor,true,mostly-false,False
"""A majority of the candidates on this stage have supported amnesty ... I have never supported amnesty.""",Ted Cruz,mostly-true,mostly-false,False
Four out of 10 homicides are committed by gun in this city.,Sam Adams,true,mostly-false,False
"""The United States is the only industrialized, modernized country that does not already have a paid family medical leave program in place.""",Jennifer Boysko,true,true,True
"""If we use (Tax Increment Financing) funding, that's going to take funds from the general fund for Pinellas County, as it will take funds from the general fund for the city of St. Pete.""",Kathleen Ford,false,mostly-false,False
"""Half of all NC legislative candidates are unopposed because of gerrymandering.""",Common Cause,mostly-true,true,False
"""Under President Obama: $4,000 tax hike on middle-class families.""",Mitt Romney,pants-fire,mostly-false,False
"Under Obamacare, ""The IRS will have access to the American people’s protected health care information.""",Eric Cantor,pants-fire,mostly-false,False
"The Uvalde, Texas, school shooter was a ""transsexual leftist illegal alien named Salvatore Ramos.""",Facebook posts,false,pants-fire,False
"""Flip Flop! After opposing term limits for decades, Adam Putnam adopts Donald Trump and Ron DeSantis’ position.""",Florida Democratic Party,half-true,true,False
Health care premiums for consumers have doubled since 2001.,Jay Rockefeller,true,mostly-false,False
"""It's been nearly three weeks since the president has commented"" on questions about possible hidden wait lists at veterans hospitals.",Major Garrett,true,true,True
An election worker in Georgia threw away a ballot.,Facebook posts,false,mostly-false,False
"After Massachusetts passed a mandatory health insurance law ""their mortality rate went down...it saved lives.""",Dave Marsden,mostly-true,true,False
"""Biden’s plan will immediately let in 25,000 asylum-seekers who’d been waiting in Mexico as their cases were judged.""",Ron Johnson,mostly-false,mostly-false,True
"""Today in America, 70 percent of us are earning the same or less than we were 12 years ago, and this is the first time that that has happened this side of World War II.""",Martin O'Malley,half-true,true,False
"""Hunters contribute more than $500 million"" to West Virginia.",Jim Justice,mostly-true,true,False
"Says Nancy Pelosi was ""asked to leave a children’s benefit after drunken outburst.""",Facebook posts,pants-fire,mostly-false,False
Says Scott Brown voted with President Barack Obama 70 percent of the time in 2011.,Jim Rubens,mostly-true,mostly-false,False
"Tax rates were significantly higher ""in the '40s, the '50s, and the '60s.""",Hillary Clinton,true,true,True
"""I’ve released 22 years of my tax returns. You can go online and look. (Donald Trump) hasn’t released one.""",Joe Biden,true,true,True
The U.S. ranks 37th in the world for health care.,Paul Hipp,mostly-true,mostly-false,False
"""I stopped requesting earmarks in 2008.""",Michael McCaul,true,true,True
"""California is growing a hell of a lot faster than Texas.""",Jerry Brown,mostly-true,mostly-false,False
Preventive care does not save the government money.,David Brooks,true,mostly-false,False
"Says Dr. Anthony Fauci in an email ""advises a family member to use (hydroxychloroquine) and antibiotic therapy, the same evening in which in a press conference he attacked (President Donald Trump) on the usefulness of (hydroxychloroquine) to fight the virus.""",Facebook posts,false,true,False
"""Obamacare is so flat-out unpopular, that even the Obama administration chose to reject part of Obamacare last Friday, when they tried to throw out the CLASS Act, which is the long-term care function.""",Michele Bachmann,mostly-false,true,False
"Says the U.S. election system is ""rigged.""",Donald Trump,pants-fire,pants-fire,True
"""In this judicial race, special interest groups have demanded money from me, in exchange for endorsement and support.""",Eve Schatelowitz Alcantar,false,true,False
"""Deepwater's own testimony . . . is they said they'll create six jobs.""",Patrick Lynch,half-true,true,False
"""Trey Radel does not even qualify to drive a Lee County school bus at this point, yet he occupies a seat in Congress.""",Mike Scott,true,mostly-false,False
"Under energy efficiency legislation sponsored by U.S. Sen. Jeanne Shaheen, ""federal bureaucrats could take over the local building code enforcement in your city if so-called ‘green mandates’ are not complied with quickly enough.""",Rick Perry,false,mostly-false,False
"""There's never been a (U.S. Supreme Court) vacancy in the last, I think, 30 years, lasting longer than 237 days.""",Richard Blumenthal,true,mostly-false,False
"""The average age a child is trafficked into the commercial sex trade industry is between 11 and 14 years old.""",Randy Forbes,half-true,true,False
"""215 members of Congress just voted to let your ISP spy on what type of underwear you buy and sell that data to advertisers.""",Fight for the Future,mostly-true,mostly-false,False
The health care reform bill -- on Page 16 -- outlaws private insurance.,Investor's Business Daily,pants-fire,pants-fire,True
"""Italian Parliament Calls For The Arrest of Bill Gates""",Bloggers,false,false,True
"Says Rep. Kyrsten Sinema supported a bill that is ""essentially encouraging child trafficking.""",Martha McSally,false,pants-fire,False
"China is or soon will be ""the largest English-speaking nation"" in the world.",Jon Huntsman,half-true,false,False
Says Mitt Romney has changed his position on supporting the TARP program.,Democratic National Committee,false,mostly-false,False
"""CDC announces that ordinary (non-N95) masks (which most people are wearing) will do nothing to protect you against wildfire smoke … Fun fact: smoke particles are far larger than SARS-CoV-2 particles.""",Facebook posts,false,true,False
"It’s legal to ""sign a recall petition (against Gov. Scott Walker) even if you have already signed another recall petition,"" but only one signature counts",One Wisconsin Now,true,true,True
"""We closed that plant down. It was a $27 million-dollar plant, operating full steam, and we closed it down.""",Frederica Wilson,true,true,True
"""Religious groups like Knights of Columbus have been forced to allow same-sex marriage ceremonies in their facilities, against their beliefs.""",National Organization for Marriage,pants-fire,mostly-false,False
"Says Republican candidates in Oregon are ""advocating violence"" against gays.",Basic Rights Oregon,false,mostly-false,False
"A facial recognition firm ""confirmed antifa infiltrated the Trump rally in D.C.""",Facebook posts,false,mostly-false,False
"""The Canadian government threatens to fire any government employee who uses ‘Let's Go Brandon’ in communications.""",Facebook posts,pants-fire,mostly-false,False
"Says Bernie Sanders opposes ""requiring all children to have a K-12 education.""",Viral image,false,mostly-false,False
"House Republicans who complained they didn't have enough time to consider a constitutional ban against oil drilling ""shoved through a proposal in just a few days to open state waters to oil drilling.""",Alex Sink,true,true,True
A bike a boy chained to a tree in Washington state in 1914 is now a fallen soldier memorial.,Viral image,false,true,False
"A space shuttle the National Museum of the United States Air Force near Dayton would be ""within a day's drive of 60 percent of the U.S. population.""",Michael Turner,half-true,true,False
"""Wisconsin does not have a deficit. Thanks to Republican reforms, the 2014 budget will begin with a $443 million surplus.""",Alberta Darling,half-true,mostly-false,False
"While she was mayor, Lois Frankel took a ""police helicopter ride to go to a dinner party.""",Adam Hasner,half-true,true,False
"Despite President Barack Obama's promise to cut healthcare costs, ""the average cost of a family policy is up $1,300.""",Republican National Committee,half-true,mostly-false,False
"""Jason Aldean gig canceled after he sells out to liberals on ‘SNL’.""",AsAmericanAsApplePie.org,pants-fire,pants-fire,True
"""We have record bankruptcies in farming country.""",Heidi Heitkamp,mostly-false,true,False
"$50,000. That's what every child owes today because Washington politicians have run up a huge spending tab and left our kids the bill.""",Frank Guinta,mostly-true,mostly-false,False
"Starting in March if you travel outside of the United States you won’t be allowed back in the country ""due to high risk of the coronavirus.""",Facebook posts,false,false,True
"""Want a healthy, happy baby? Skip the Well Baby visits. They… make your baby sick.""",Facebook posts,false,mostly-false,False
Says a photo shows Bill Clinton and Christine Blasey Ford posing for a camera and smiling together.,Viral image,pants-fire,false,False
"""Fox admits they lie"" and, under the First Amendment, ""have the right to lie or deliberately distort news reports on public airwaves.""",Facebook posts,false,mostly-false,False
Says wearing face masks is more harmful to your health than going without one.,Facebook posts,false,false,True
"Says Gov. Ron DeSantis ""just signed legislation requiring students, faculty and staff at Florida’s public universities and colleges to register their political views with the state.""",Viral image,false,mostly-false,False
"Says Milwaukee County Executive Chris Abele is a ""billionaire.""",Marina Dimitrijevic,false,mostly-false,False
Says the claim that 40 percent of guns are sold without background checks traces to information gathered before background checks were even required.,Ted Cruz,half-true,mostly-false,False
"Says, ""In the last four years we’ve cut $36 million in ongoing revenue.""",Sam Adams,false,mostly-false,False
"People who are vaccinated for the coronavirus ""cannot spread it to you.""",Joe Biden,half-true,mostly-false,False
"""Mass shootings went up 200 percent in the decade after the assault weapons ban expired.""",Ted Deutch,mostly-false,mostly-false,True
Masks have negative impacts on 68% of children.,Instagram posts,false,pants-fire,False
"When it comes to transportation funds, Georgians spend more in taxes and on red tape than they get back from the federal government.",Tom Graves,half-true,true,False
"Says President Donald Trump ""signs a visa-free travel policy"" for Ghana and Malawi.",Bloggers,pants-fire,false,False
Says Nick Kahl made it harder for many families to cover basic health care expenses.,Matt Wand,mostly-false,true,False
"""The President wants to cut 3 MILLION people from SNAP, including children, seniors and veterans.""",Alma Adams,mostly-true,mostly-false,False
"Says Haley Stevens’ plan for ""socialized medicine"" would ""eliminate 100,000 doctors and nurses.""",Eric Esshaki,mostly-false,pants-fire,False
"""Again today (Ahmadinejad) made light of 9/11, and said that he's not even sure it happened and that people actually died.""",Hillary Clinton,true,mostly-false,False
"""Even if you took literally every single ounce of platinum in the world, it still wouldn’t add up to enough needed to pay down our nation’s debt.""",National Republican Congressional Committee,true,mostly-false,False
"""If you are a federally licensed gun dealer and your license is revoked because you've engaged in misconduct ... your entire inventory under prevailing law is deemed your personal collection. You then can sell it free from any background checks.""",David Cicilline,true,mostly-false,False
"A national paid leave program ""would potentially put into the economy $21 billion dollars annually.""",Kirsten Gillibrand,mostly-false,true,False
"""Most young Americans right now, they’re not covered"" by health insurance.",Barack Obama,false,true,False
"""The child tax credit, if we don't do it, there will be no tax relief for working families. How much tax relief working families get under tax reform is entirely dependent on whether or not we put in place an increase to the child tax credit.""",Marco Rubio,mostly-true,true,False
"An account of attacks in Benghazi written by former White House press secretary Dee Dee Myers shows that the body of U.S. Ambassador to Libya Christopher Stevens was ""dragged through the streets"" and abused.",Chain email,pants-fire,true,False
"""Roy Cooper won't say how he will pay for ‘free’ college tuition.""",Pat McCrory,half-true,mostly-false,False
Says she was the first in her family to go to a four-year college.,Katie McGinty,pants-fire,true,False
"""Since passage of the Tax Cuts and Jobs Act, Walmart 'increased their starting wage to $11/hr & has given about $400 million in bonuses.'""",Ann Wagner,true,true,True
"""The Russian army captured the U.S Major General Roger L. Cloutier Jr. … in the besieged Ukrainian Azov camp in Mariupol.""",Tweets,false,mostly-false,False
"""There is no evidence that poor people abuse drugs more frequently than any other socio-economic group.""","Joseph ""Joe"" Deshotel",false,mostly-false,False
"""Portland Schools spend $500K to deem PB&J sandwiches racist.""",Education Action Group,pants-fire,pants-fire,True
"""The city of Houston now has more debt per capita than California.""",Rick Perry,half-true,false,False
"Says Obama has ""doubled the stock market from where we started when he was sworn into office""",Gerry Connolly,mostly-false,mostly-false,True
"Says Chris Koster ""opposes right-to-work efforts because he has taken $8 million from ‘union bosses.’""",Eric Greitens,half-true,mostly-false,False
"Says Alex Sink supported ""more taxes on water and TV.""",National Republican Congressional Committee,mostly-true,mostly-false,False
"""More than half of our unemployed Ohioans have been out of work for six months or more.""",Rob Portman,mostly-true,mostly-false,False
"""Every major study that has been done by a legitimate group ... shows that there are hundreds of thousands of jobs to be created if you pass our (cap-and-trade) legislation. And if you wind up pricing carbon.""",John Kerry,false,true,False
"Bill White ""is discriminating. He's taking jobs from African Americans and giving them to his friends.""",Farouk Shami,pants-fire,mostly-false,False
"""McDonald’s hamburgers are only 15 percent ‘real beef.’ The other 85 percent is meat filler cleansed with ammonia, which causes stomach and intestinal cancer.""",Facebook posts,pants-fire,mostly-false,False
"""Congresswoman Ros-Lehtinen has long record of voting against VA backlog fixes.""",Democratic Congressional Campaign Committee,false,mostly-false,False
Says Texas ranks among the nation’s top five states for its high school graduation rate.,Greg Abbott,true,true,True
"Voter turnout for some groups in the 2008 presidential general election in Georgia ""was far greater than it should have been demographically.""",Warren Kampf,mostly-true,mostly-false,False
"""Trump approval rating better than Obama and Reagan at same point in their presidencies.""",The Gateway Pundit,mostly-true,mostly-false,False
"""The New England Journal of Medicine released a survey the week that President Obama signed Obamacare stating that over 30 percent of American physicians would leave the profession if the government took over health care.""",Michele Bachmann,false,true,False
"The Biden administration ""gifted the Taliban with $80 billion-plus"" in military-grade weapons but now ""wants your 9mm pistols.""",Viral image,false,mostly-false,False
"Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.",Jim Rubens,false,mostly-false,False
"""A lot of the problems with forest fires ... is because of bad policy (not to clear out the forests) that was put in place by environmentalists.""",Dana Perino,mostly-false,mostly-false,True
"A member of the redistricting commission proposed in Issue 2 ""could accept a bribe from somebody"" and ""couldn’t be removed from this commission.""",Jon Husted,false,mostly-false,False
"""29 mass shootings have been committed by concealed carriers since 2007, while during this period only one (1) licensed civilian meaningfully intervened in a mass shooting.""",Gun Free UT Gun Free UT,half-true,mostly-false,False
"Republicans didn't ""increase state funding for nursing homes in the last budget.""",Tim Carpenter,false,mostly-false,False
"""We have the highest corporate tax rate in the world. It’s 35 percent.""",Jim Sensenbrenner,true,mostly-false,False
"""Given the results of the primary, the vote of one New Hampshire superdelegate is equal to the votes of about 10,000 grassroots activists.""",New Hampshire Republican Party,mostly-true,mostly-false,False
"""As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.""",Evan McMullin,mostly-false,mostly-false,True
"Says Kamala Harris said there will be ""a federal tax on your home for reparations.""",Facebook posts,false,mostly-false,False
"When it comes to urgency on passing a budget repair bill, ""there’s no rush on this thing"" because the fiscal year doesn’t end until June 30, 2011.",Jon Erpenbach,mostly-false,true,False
"""Myanmar used Dominion Voting Systems.""",Facebook posts,false,false,True
"""There have been 44 plans submitted affecting 90 school districts. And the Scott administration has rejected all of them.""",Christine Hallquist,false,true,False
"The Republican Party has ""21 percent party ID and shrinking.""",Democratic National Committee,mostly-true,mostly-false,False
A retired U.S. Army sergeant faces life in prison for killing two Syrian refugees after discovering they raped his teenage daughter.,Viral image,false,false,True
"The Republicans ""still want to privatize (Social Security). In fact, their whole idea is to turn over the Social Security trust fund to Wall Street.""",Hillary Clinton,mostly-false,mostly-false,True
"""What I have put forward does not add a penny to the debt.""",Hillary Clinton,half-true,mostly-false,False
"""Roadside bombs are responsible for 70 percent of casualties in Iraq and these new mine-resistant vehicles can reduce those casualties by two-thirds.""",Joe Biden,mostly-true,true,False
"""Welcome to #Houston, the most #diverse city in #America.""",Sylvester Turner,mostly-true,true,False
"Says GOP primary opponents Glenn Grothman and Joe Leibham cast a ""compromise vote that cost $788 million"" in higher electricity costs.",Duey Stroebel,mostly-true,true,False
"""Suez Canal blocked by huge container ship named Evergreen. Evergreen shipping is most likely a cover for human and sex trafficking"" by Hillary Clinton.",Facebook posts,pants-fire,mostly-false,False
"The poverty rate in West Virginia ""was 19.1 percent, the fourth-highest in the country.""",Mike Romano,true,true,True
"Says ""for the first time ever,"" Texas lawmakers are not funding student population growth.",Wendy Davis,mostly-true,true,False
"John McCain ""voted against the tax cuts of 2001 and 2003, wrongly claiming they helped only the rich.""",J.D. Hayworth,mostly-true,mostly-false,False
"The House Zika bill ""limits access to birth control services needed to help curb the spread of the virus"" in Puerto Rico.",Bill Nelson,half-true,mostly-false,False
"""An independent analysis shows that payments for cancer care will be slashed by close to 45% causing cancer clinics to close and massively raising your healthcare costs.""",Community Oncology Alliance,half-true,mostly-false,False
You must list all your guns on your 2010 tax return.,Chain email,pants-fire,false,False
"Between 27,000 and 200,000 Wisconsinites were ""turned away"" from the polls in 2016 due to lack of proper identification.",Hillary Clinton,pants-fire,mostly-false,False
"""Manufacturing is having its best employment year in almost 15 years.""",Austan Goolsbee,mostly-true,true,False
"""Under the Tax Cuts and Jobs Act, the average American family of four will receive a $1,182 tax cut.""",Markwayne Mullin,mostly-true,true,False
"""The national economy was strong in its largest expansion of private sector jobs before President Trump came into office.""",Tim Kaine,true,mostly-false,False
"Sherrod Brown ""gave huge bonuses to executives.""",Josh Mandel,pants-fire,mostly-false,False
"""At nearly 19 million people, the population of Florida is larger than all the earlier primary and caucus states combined.""",Rick Scott,true,mostly-false,False
"""We spend more money on antacids than we do on politics.""",John Boehner,false,mostly-false,False
"Says the federal government is spending $765,828 to subsidize ""pancakes for yuppies"" in Washington.",Roger Williams,half-true,pants-fire,False
"A photo shows two men on the run who pretend to be homeless and then ""attack and rob you.""",Viral image,false,mostly-false,False
"A cap-and-trade plan promoted by Barack Obama would hit hardest ""those already struggling to make ends meet.""",Sarah Palin,half-true,mostly-false,False
Photo shows Joe Biden asleep at his desk.,Viral image,false,mostly-false,False
"The United States had ""allies lined up"" for air strikes in Syria and then Obama ""pulled the rug out.""",Peter King,half-true,mostly-false,False
"Of ""30,000 individuals arrested a year for crimes that are 16 or 17, over 95 percent of them do not result in a criminal conviction. Only 1.5 percent of them ultimately go to state prison.""",Patrick Gallivan,mostly-true,true,False
"In Chicago, which has the toughest gun laws in the United States, probably you could say by far, they have more gun violence than any other city.",Donald Trump,mostly-false,mostly-false,True
"The Bush tax cuts ""created about 8 million jobs over the first 10 years that they were in existence. We've lost about 5 million of those jobs during this recession.""",John Boehner,false,mostly-false,False
"List shows ""1,000 peer reviewed studies questioning COVID-19 vaccine safety""",Bloggers,false,mostly-false,False
"Says he ""opposed $716 billion cut to Medicare.""",C.W. Bill Young,half-true,true,False
Says the Trump administration transferred $10 million from FEMA to ICE.,Jeff Merkley,true,true,True
"John Kasich says he won, despite ""12 visits by a president, somewhere between $45 (million) and $50 million (spent against him,) 500 paid volunteers in here calling me every name in the book, former presidents, first ladies and God-knows-who-else.""",John Kasich,half-true,true,False
"The Free Flow of Information Act of 2009 ""would guarantee Barack Obama will never be held accountable for producing forged birth documents.""",Chain email,pants-fire,pants-fire,True
"The property appraiser's budget ""is $1 million less today than when I took office 16 years ago.""",Rob Turner,true,mostly-false,False
"""Lake Erie supports nearly 10 percent of Ohio's jobs and generates $750 million in state and local taxes.""",Betty Sutton,mostly-true,true,False
"""Germany: 96% of Latest Omicron Patients were FULLY Vaccinated – Only 4% Unvaccinated""",The Gateway Pundit,false,mostly-false,False
"Says Donald Trump is breaking a campaign pledge to bring manufacturing jobs back to Wisconsin and Pennsylvania since the two states ""have lost the most manufacturing jobs in the past year.""",Democratic National Committee,mostly-false,mostly-false,True
"""When he (Donald Trump) asked Florida to have casino gambling, we said no.""",Jeb Bush,mostly-true,mostly-false,False
"Says 44 senators ""voted NOT to send stimulus checks.""",Viral image,false,mostly-false,False
A video shows Joe Biden lost and confused on stage.,Donald Trump Jr.,pants-fire,true,False
"Under the House health care bill, Medicaid spending ""actually goes up 20 percent over the next 10 years.""",Newt Gingrich,half-true,mostly-false,False
"""163 paid protesters just filed a lawsuit against George Soros for not paying their bail.""",Bloggers,pants-fire,false,False
"Say that according to the Los Angeles Times, ""95% of warrants for murder in Los Angeles are for illegal aliens,"" more than two-thirds of all births in Los Angeles County ""are to illegal alien Mexicans"" on Medicaid, ""nearly 60% of all occupants of HUD properties are illegal,"" and Nancy Pelosi ""wants to put a windfall tax"" on retirement fund profits.",Facebook posts,pants-fire,pants-fire,True
Herd immunity is probably why California has far fewer COVID-19 deaths than New York.,Facebook posts,false,mostly-false,False
"""Closing the tobacco loophole would save Missouri taxpayers $50,000,000""",Chris Koster,true,mostly-false,False
"When George W. Bush was governor of Texas, ""the percentage uninsured went down."" Under his successor, Rick Perry, ""it's gone up.""",Mitt Romney,half-true,mostly-false,False
A video shows the Russian warship Moskva exploding.,TikTok posts,false,true,False
"Wayne Powell has a ""stated position of having no objection to taking `In God We Trust"" off of U.S. currency.""",Eric Cantor,true,mostly-false,False
"The House of Delegates budget bill ""cuts $50 million from education.""",Virginia Senate Democratic Caucus,true,mostly-false,False
"""A study by the National Economics Research Association showed that the (Paris climate) deal could cost 2.7 million lost jobs in the U.S. by 2025 should our country adhere to the commitments made by the Obama Administration.""",Gus Bilirakis,false,mostly-false,False
"""Pete Buttigieg claims Bible says babies can be aborted ‘up to their first breath.’""",Bloggers,false,true,False
"In the ""do-nothing Senate,"" there are 352 House bills ""sitting on Harry Reid’s desk awaiting action,"" including 55 introduced by Democrats.",Lynn Jenkins,half-true,mostly-false,False
"""Republicans in the General Assembly cut teacher pay so much when they took over in 2011 that even with recent pay raises, we are still below pre-Recession pay levels.""",JD Wooten,mostly-false,true,False
"Under Barack Obama, the U.S. now has the ""lowest workforce since (President Jimmy) Carter.""",American Future Fund,mostly-false,mostly-false,True
"""Under President Obama, U.S. security funding for Israel is at an all-time high.""",Democratic National Committee,half-true,mostly-false,False
Omicron 'hysteria' was timed so that it would coincide with and distract from the Ghislaine Maxwell trial.,Facebook posts,pants-fire,mostly-false,False
"Arkansas Democratic congressional candidate Chad Causey ""was a Washington, D.C. bureaucrat.""",National Republican Congressional Committee,false,mostly-false,False
"""I think [a little] less than half of the people in our prisons are in there for less than a year.  ... We have people who are check kiters and don't pay child support and we are locking them up in the state pen.""",John Kasich,true,true,True
Says U.S. Senate candidate Eric Hovde has ‘no problem with raising taxes.’,Club for Growth,mostly-false,mostly-false,True
"In 2013, the United States ""accepted 67 percent of the world’s refugees.""",Michael Needham,mostly-false,mostly-false,True
"""Unemployment now pays $24/hour, even if your wages were lower. Why don’t ‘essential’ people forced to still work get $24, too?""",Facebook posts,half-true,mostly-false,False
"""We have a host of issues associated with high B.M.I.s. But correlation doesn’t prove causation, and there’s a significant body of research showing that weight stigma and weight cycling can explain most if not all of the associations we see between higher weights and poor health outcomes.""",Christy Harrison,mostly-false,true,False
